First root.player = true
parent: 0
current.player: false
parent.id = 0, parent.coordinate: {8 8}, parent.value = 0
child.id = 111, child.coordinate: {1 5}, child.value = 7047
child.id = 112, child.coordinate: {1 6}, child.value = 7047
child.id = 113, child.coordinate: {1 7}, child.value = 6900
child.id = 114, child.coordinate: {1 8}, child.value = 7047
child.id = 115, child.coordinate: {2 0}, child.value = 168
child.id = 116, child.coordinate: {2 1}, child.value = 733
child.id = 117, child.coordinate: {2 2}, child.value = 836
child.id = 118, child.coordinate: {2 3}, child.value = 1824
child.id = 119, child.coordinate: {2 4}, child.value = 3060
child.id = 120, child.coordinate: {2 5}, child.value = 7776
child.id = 121, child.coordinate: {2 6}, child.value = 7384
child.id = 122, child.coordinate: {2 7}, child.value = 7776
child.id = 123, child.coordinate: {2 8}, child.value = 7776
child.id = 124, child.coordinate: {3 0}, child.value = 175
child.id = 125, child.coordinate: {3 1}, child.value = 1307
child.id = 126, child.coordinate: {3 2}, child.value = 1816
child.id = 127, child.coordinate: {3 3}, child.value = 2060
child.id = 128, child.coordinate: {3 4}, child.value = 3814
child.id = 129, child.coordinate: {3 5}, child.value = 8516
child.id = 130, child.coordinate: {3 6}, child.value = 9477
child.id = 131, child.coordinate: {3 7}, child.value = 9477
child.id = 132, child.coordinate: {3 8}, child.value = 9477
child.id = 133, child.coordinate: {4 0}, child.value = 136
child.id = 134, child.coordinate: {4 1}, child.value = 2718
child.id = 135, child.coordinate: {4 2}, child.value = 3020
child.id = 136, child.coordinate: {4 3}, child.value = 3770
child.id = 137, child.coordinate: {4 5}, child.value = 7695
child.id = 138, child.coordinate: {4 6}, child.value = 7938
child.id = 139, child.coordinate: {4 7}, child.value = 8505
child.id = 140, child.coordinate: {4 8}, child.value = 8370
child.id = 141, child.coordinate: {5 0}, child.value = 244
child.id = 142, child.coordinate: {5 1}, child.value = 6965
child.id = 143, child.coordinate: {5 2}, child.value = 7612
child.id = 144, child.coordinate: {5 3}, child.value = 8520
child.id = 145, child.coordinate: {5 4}, child.value = 7367
child.id = 146, child.coordinate: {5 5}, child.value = 19697
child.id = 147, child.coordinate: {5 6}, child.value = 26244
child.id = 148, child.coordinate: {5 7}, child.value = 26244
child.id = 149, child.coordinate: {5 8}, child.value = 21870
child.id = 150, child.coordinate: {6 0}, child.value = 244
child.id = 151, child.coordinate: {6 1}, child.value = 6965
child.id = 152, child.coordinate: {6 2}, child.value = 7384
child.id = 153, child.coordinate: {6 3}, child.value = 9231
child.id = 154, child.coordinate: {6 4}, child.value = 7610
child.id = 155, child.coordinate: {6 5}, child.value = 26244
child.id = 156, child.coordinate: {6 6}, child.value = 19695
child.id = 157, child.coordinate: {6 7}, child.value = 26244
child.id = 158, child.coordinate: {6 8}, child.value = 21870
